START LOG
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 0 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 0 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 0 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 0 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
[SAMPLE] Pkt Len: 0 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 16 | State: 0
[SAMPLE] Pkt Len: 500 | Data[0]: 47 | State: 0
